check_num,p_index,p,p_raw,lrb_lambda,rb_p,lrb_f,lrb_fidelity,lrb_error_rate,lrb_a,lrb_b,lrb_chi2,lrb_n_points,lrb_error_rate_std_boot,lrb_error_rate_ci_low,lrb_error_rate_ci_high,rb_f,rb_fidelity,rb_error_rate,rb_a,rb_b,rb_chi2,rb_n_points,rb_error_rate_std_boot,rb_error_rate_ci_low,rb_error_rate_ci_high,lambda
4,6,0.025,0.005,0.025,0.025,0.99583700484163,0.99722466989442,0.002775330105579954,0.0,0.9608033684894242,9.955064464198292,9,2.7985475635574706e-05,0.0027471729517282075,0.00280300239757004,0.9721072642789274,0.9814048428526183,0.01859515714738169,0.0,0.9999999970627368,0.08246516504061516,9,0.0012870598394538707,0.01851297773487018,0.021198904108010855,0.025
4,7,0.0375,0.0075,0.0375,0.0375,0.9885302181146978,0.9923534787431318,0.007646521256868155,0.0,0.939542452664971,9.90158529156359,8,8.178504284704815e-05,0.007568619924313791,0.007728133309385448,0.9584810704151893,0.9723207136101261,0.027679286389873936,0.0,0.9999999975954177,0.08203844155751312,9,0.0013042538629631872,0.027378199086217983,0.029734878315984523,0.0375
4,8,0.05,0.01,0.05,0.05,0.9760233602397664,0.9840155734931777,0.015984426506822302,0.0,0.9171024094314435,15.873428486996286,6,0.00016495762289434892,0.015825125175081944,0.016154653705120058,0.944909900550901,0.963273267033934,0.03672673296606599,0.0,0.9999999984641825,0.020527919457243894,9,0.0012701954172697524,0.03598509340014912,0.03850534958827994,0.05
4,9,0.0625,0.0125,0.0625,0.0625,0.9518023204819768,0.9678682136546511,0.032131786345348856,0.0,0.8937791855803522,14.570528586596742,5,0.00033954762164700465,0.03178835008211639,0.03247925439520741,0.9314986846850132,0.9543324564566754,0.045667543543324585,0.0,0.9999999996386602,0.08243627639471239,9,0.0012061227568973191,0.04535749074642515,0.0477720516822796,0.0625
4,10,0.075,0.015,0.075,0.075,0.9135669488643305,0.9423779659095537,0.057622034090446306,0.0,0.8692488543686057,12.777527228765777,5,0.0006152640122956614,0.05700103302998966,0.05821799941782002,0.9185660328143397,0.9457106885428931,0.054289311457106915,0.0,0.9999999996313111,0.03493862815281297,9,0.0012595917296890247,0.05350041290499596,0.05605101170615654,0.075
4,11,0.1,0.02,0.1,0.1,0.7962040020379599,0.86413600135864,0.13586399864136,0.0,0.8170560204779799,6.661095065583773,5,0.0017829197888615841,0.1340327879930055,0.13748388129182787,0.8931912010680879,0.9287941340453919,0.0712058659546081,0.0,0.9999999995891279,0.07181257318799888,9,0.0012011985217666784,0.07084772195818945,0.07321392993452737,0.1
4,12,0.15,0.03,0.15,0.15,0.49173200508267995,0.66115467005512,0.33884532994488004,0.0,0.7023413640432838,5.2913806608647445,4,0.004589680085494762,0.3342986846570132,0.34319931390134023,0.844708801552912,0.8964725343686079,0.10352746563139215,0.0,0.9999999995411423,0.13772101756178265,9,0.0012923881797450825,0.10372055362946125,0.10629047360376195,0.15
4,13,0.2,0.04,0.2,0.2,0.23855440761445595,0.49236960507630395,0.507630394923696,0.0,0.5790995992278202,6.928935486499804,4,0.005654915435012527,0.5018143309818567,0.512940261537264,0.801483201985168,0.867655467990112,0.13234453200988805,0.0,0.9999999994789539,0.8839571538680595,9,0.0014388556661589402,0.13615120930515456,0.13891553994417793,0.2
4,14,0.25,0.05,0.25,0.25,0.16092800839071994,0.44061867226047996,0.5593813277395201,0.0,0.45761210765408733,4.991384294573306,4,0.004871818329428296,0.554460090455399,0.5643887516894458,0.761177602388224,0.8407850682588159,0.15921493174118406,0.0,0.9999999997442425,4.352818761045253,9,0.001570909608903045,0.16875016364583176,0.17182282494843842,0.25
5,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,9,1.1122483486289689e-08,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,9,0.261035429046315,6.66598555283837e-06,0.6666665916666674,0.0
5,1,0.0005,0.0001,0.0005,0.0005,0.9999983760000163,0.9999989173333441,1.082666655882747e-06,0.0,0.99926106050691,0.3783209211595055,9,1.895469775236421e-07,9.134999908733121e-07,1.2919999869964727e-06,0.9994354671846454,0.9996236447897635,0.00037635521023648977,0.0,0.9999999999934934,0.14174297536775526,9,0.002234184342542976,0.00039890136349898683,0.005365370711146356,0.0005
5,2,0.001,0.0002,0.001,0.001,0.9999951458500486,0.9999967639000324,3.2360999675518087e-06,0.0,0.9985086109888929,0.27311488427722014,9,2.5481504116610116e-07,2.975637470314929e-06,3.482324965276007e-06,0.9988885212913149,0.99925901419421,0.0007409858057899621,0.0,0.9999999997189982,0.1120663133186339,9,0.0018750850332666684,0.000346756703652411,0.004416409093435889,0.001
5,3,0.0025,0.0005,0.0025,0.0025,0.9999669669028116,0.9999779779352078,2.202206479218205e-05,0.0,0.9962618112988473,2.1208596619694635,9,5.13563315397277e-07,2.151593758481507e-05,2.2511120399859585e-05,0.9971859679281404,0.9981239786187602,0.0018760213812397675,0.0,1.0000000007363585,0.07613014816103914,9,0.0015245233552020744,0.0007828465937715156,0.003994834651785016,0.0025
5,4,0.005,0.001,0.005,0.005,0.9998601066113989,0.9999067377409325,9.326225906747254e-05,0.0,0.9924654104576219,6.9570817828368,9,1.1307826195374079e-06,9.20083957464124e-05,9.434221905646467e-05,0.9943650488263496,0.996243365884233,0.003756634115766988,0.0,0.9999999996862204,0.15173289466139842,9,0.0015693028834688736,0.003339468406605306,0.006554001454459999,0.005
5,5,0.01,0.002,0.01,0.01,0.9993824434655756,0.9995882956437171,0.0004117043562829048,0.0,0.9847970599229648,20.12332634697497,9,3.2410497469329863e-06,0.0004086117904139597,0.00041503341874971067,0.9887242281127577,0.9924828187418385,0.007517181258161476,0.0,1.0000000001343021,0.16115886361862947,9,0.0013297356417776034,0.00747453272525469,0.010205703097942966,0.01
5,6,0.025,0.005,0.025,0.025,0.994371202641288,0.9962474684275252,0.003752531572474793,0.0,0.9608279749609674,40.3260624954391,9,2.8206535336819637e-05,0.0037232370923677214,0.003777578678890947,0.9721072642789274,0.9814048428526183,0.01859515714738169,0.0,0.9999999970627368,0.08246516504061516,9,0.0012870598394538707,0.01851297773487018,0.021198904108010855,0.025
5,7,0.0375,0.0075,0.0375,0.0375,0.9840820161591799,0.9893880107727866,0.010611989227213403,0.0,0.9395754320405312,40.376382875587616,8,9.298415653380827e-05,0.010517234241494262,0.010708241386250879,0.9584810704151893,0.9723207136101261,0.027679286389873936,0.0,0.9999999975954177,0.08203844155751312,9,0.0013042538629631872,0.027378199086217983,0.029734878315984523,0.0375
5,8,0.05,0.01,0.05,0.05,0.9633950683660494,0.975596712244033,0.024403287755967007,0.0,0.9171624355743828,54.55606594319951,6,0.00021264311870650802,0.02416623506500439,0.024597820020688537,0.944909900550901,0.963273267033934,0.03672673296606599,0.0,0.9999999984641825,0.020527919457243894,9,0.0012701954172697524,0.03598509340014912,0.03850534958827994,0.05
